file,procedure,title,order
spinal-fusion/1-preparing-your-home.mp4,Spinal Fusion,Preparing your home,1
spinal-fusion/2-pre-op.mp4,Spinal Fusion,Pre-Op,2
spinal-fusion/3-what-to-expect-in-hospital.mp4,Spinal Fusion,What To Expect In Hospital,3
spinal-fusion/4-the-procedure.mp4,Spinal Fusion,The Procedure,4
spinal-fusion/5-risk.mp4,Spinal Fusion,Risk,5
spinal-fusion/6-hospital-care.mp4,Spinal Fusion,Hospital Care,6
hip-replacement/1-replacement-surgery.mp4,Hip Replacement,Hip Replacement Surgery,1
hip-replacement/2-risk.mp4,Hip Replacement,Risk,2
hip-replacement/3-how-to-prepare-for-surgery.mp4,Hip Replacement,How To Prepare For Surgery,3
hip-replacement/4-during-the-procedure.mp4,Hip Replacement,During The Procedure,4
hip-replacement/5-after-the-procedure.mp4,Hip Replacement,After The Procedure,5
hip-replacement/6-home-recovery.mp4,Hip Replacement,Home Recovery,6
evergreen/brain-science.mp4,,Brain Science,1
evergreen/how-it-works.mp4,,How It Works,2
